what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1346969766691
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1346969766691
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1346969766691
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1346969766691
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1346969766691
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1346969766691
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1346969766707
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1346969766707
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1346969766707
os,sysinfo,,,"win32",1346969766707
arch,sysinfo,,,"x86",1346969766707
ws,sysinfo,,,"win32",1346969766707
locale,sysinfo,,,"en_US",1346969766707
processors,sysinfo,,,"4",1346969766707
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346969766707
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1346969766707
java.specification.name,sysinfo,,,"Java Platform API Specification",1346969766707
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346969766707
java.specification.version,sysinfo,,,"1.6",1346969766707
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346969766707
java.version,sysinfo,,,"1.6.0_26",1346969766707
java.vm.info,sysinfo,,,"mixed mode, sharing",1346969766707
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346969766707
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346969766707
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346969766707
