what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1349451920260
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1349451920260
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349451920275
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349451920275
os,sysinfo,,,"win32",1349451920275
arch,sysinfo,,,"x86",1349451920275
ws,sysinfo,,,"win32",1349451920275
locale,sysinfo,,,"en_US",1349451920275
processors,sysinfo,,,"2",1349451920275
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349451920275
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1349451920275
java.specification.name,sysinfo,,,"Java Platform API Specification",1349451920275
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349451920275
java.specification.version,sysinfo,,,"1.6",1349451920275
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349451920275
java.version,sysinfo,,,"1.6.0_20",1349451920275
java.vm.info,sysinfo,,,"mixed mode, sharing",1349451920275
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349451920275
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349451920275
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349451920275
java.vm.specification.version,sysinfo,,,"1.0",1349451920275
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349451920275
java.vm.version,sysinfo,,,"16.3-b01",1349451920275
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1349451935891
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1349451939042
